"filename","sentence","category","whole text"
"2-21-2-18_b1","Premier-Minister von Spanien ist nun Pedro Sanchez.","background","Spanien und Katalonien wollen ihren Streit beenden  In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. Heuer bekam Spanien eine neue Regierung. Premier-Minister von Spanien ist nun Pedro Sanchez. Er will den Streit mit Katalonien beenden. Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. "
"1-29-11-21_b1","Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden.","background","Die neue Corona-Variante Omikron ist nun auch in Österreich  Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. Das gab das Gesundheitsministerium bekannt. Die neue Variante heißt B.1.1.529. Sie wird aber auch Omikron genannt. Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. 31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. Beim Rest finden die Tests derzeit statt. "
"1-29-11-21_b1","Sie wird aber auch Omikron genannt.","definition","Die neue Corona-Variante Omikron ist nun auch in Österreich  Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. Das gab das Gesundheitsministerium bekannt. Die neue Variante heißt B.1.1.529. Sie wird aber auch Omikron genannt. Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. 31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. Beim Rest finden die Tests derzeit statt. "
"1-29-11-21_b1","Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt.","addition","Die neue Corona-Variante Omikron ist nun auch in Österreich  Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. Das gab das Gesundheitsministerium bekannt. Die neue Variante heißt B.1.1.529. Sie wird aber auch Omikron genannt. Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. 31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. Beim Rest finden die Tests derzeit statt. "
"1-29-11-21_b1","Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht.","relation","Die neue Corona-Variante Omikron ist nun auch in Österreich  Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. Das gab das Gesundheitsministerium bekannt. Die neue Variante heißt B.1.1.529. Sie wird aber auch Omikron genannt. Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. 31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. Beim Rest finden die Tests derzeit statt. "
"2-18-1-22_b1","Ab Anfang Februar bis Mitte März wird jeder Haushalt über die Impflicht informiert.","addition","Gesundheits-Ausschuss beschloss Umsetzung der geplanten Impfpflicht Im Gesundheits-Ausschuss des Nationalrats ist am Montag über die geplante Corona-Impflicht gesprochen und schließlich beschlossen worden. Ab Februar soll sie für alle ab 18 Jahren in Österreich gelten. Ausnahmen gibt es für Schwangere und Personen, die aus medizinischen Gründen nicht geimpft werden können. Der Nationalrat entscheidet am Donnerstag über die Impfpflicht. Ab Anfang Februar bis Mitte März wird jeder Haushalt über die Impflicht informiert. Ab Mitte März wird sie kontrolliert. Wird man als ungeimpft ertappt, muss man mit einer Anzeige rechnen und eine Strafe zahlen. Diese kann 600 Euro bis 3.600 Euro betragen. "
"2-18-1-22_b1","Wird man als ungeimpft ertappt, muss man mit einer Anzeige rechnen und eine Strafe zahlen.","addition","Gesundheits-Ausschuss beschloss Umsetzung der geplanten Impfpflicht Im Gesundheits-Ausschuss des Nationalrats ist am Montag über die geplante Corona-Impflicht gesprochen und schließlich beschlossen worden. Ab Februar soll sie für alle ab 18 Jahren in Österreich gelten. Ausnahmen gibt es für Schwangere und Personen, die aus medizinischen Gründen nicht geimpft werden können. Der Nationalrat entscheidet am Donnerstag über die Impfpflicht. Ab Anfang Februar bis Mitte März wird jeder Haushalt über die Impflicht informiert. Ab Mitte März wird sie kontrolliert. Wird man als ungeimpft ertappt, muss man mit einer Anzeige rechnen und eine Strafe zahlen. Diese kann 600 Euro bis 3.600 Euro betragen. "
"1-dienstag-8-2-22_b1","Der Dienstag war ein erfolgreicher Tag für Österreich bei den Olympischen Winterspielen in Peking.","background","Zweimal Gold und einmal Silber für Österreich bei Olympia  Der Dienstag war ein erfolgreicher Tag für Österreich bei den Olympischen Winterspielen in Peking. Der Ski-Rennläufer Matthias Mayer gewann den Super-G und holte die Goldmedaille. Mayer gewann schon 2014 und 2018 eine Goldmedaille. Damit ist er der erfolgreichste österreichische Ski-Rennfahrer bei Olympischen Spielen überhaupt. Auch Österreichs Snowboarder konnten jubeln. Der 36-jährige Benjamin Karl holte im Parallel-Riesentorlauf die Gold-Medaille. Bei den Frauen kam Daniela Ulbing im Parallel-Riesentorlauf auf den 2. Platz und gewann damit die Silber-Medaille. "
"5-18-1-22-b1","Am Montag hat der Fußball-Weltverband FIFA wie jedes Jahr den besten Fußball-Spieler des Jahres gewählt.","background","Weltfußballer des Jahres 2021 ist Lewandowski  Am Montag hat der Fußball-Weltverband FIFA wie jedes Jahr den besten Fußball-Spieler des Jahres gewählt. Gewonnen hat der polnische Fußballspieler Robert Lewandowski. Damit hat Lewandowski die Auszeichnung bereits 2 Mal in Folge gewonnen. Lewandowski spielt für den deutschen Fußball-Club Bayern München. Zum besten Trainer des Jahres wurde Thomas Tuchel gewählt. Tuchel kommt aus Deutschland und ist Trainer des englischen Fußball-Clubs FC Chelsea. "
"5-18-1-22_b1","Tuchel kommt aus Deutschland und ist Trainer des englischen Fußball-Clubs FC Chelsea.","addition","Weltfußballer des Jahres 2021 ist Lewandowski  Am Montag hat der Fußball-Weltverband FIFA wie jedes Jahr den besten Fußball-Spieler des Jahres gewählt. Gewonnen hat der polnische Fußballspieler Robert Lewandowski. Damit hat Lewandowski die Auszeichnung bereits 2 Mal in Folge gewonnen. Lewandowski spielt für den deutschen Fußball-Club Bayern München. Zum besten Trainer des Jahres wurde Thomas Tuchel gewählt. Tuchel kommt aus Deutschland und ist Trainer des englischen Fußball-Clubs FC Chelsea. "
"5-21-2-18_b1","Letztes Jahr gewann Marcel Sabitzer die Wahl.","addition","Marko Arnautovic ist Fußballer des Jahres  Marko Arnautovic ist zum Fußballer des Jahres in Österreich gewählt worden. Die Trainer der 12 Klubs in der österreichischen Bundesliga wählten den Wiener Fußballer. Arnautovic gewann die Auszeichnung zum 1. Mal. Er gewann die Wahl vor den Fußballern David Alaba und Xaver Schlager. Letztes Jahr gewann Marcel Sabitzer die Wahl. Von 2011 bis 2016 gewann David Alaba. Arnautovic spielt in der österreichischen Fußball-Nationalmannschaft und in der englischen Fußball-Liga beim Klub West Ham. "
"5-21-2-18_b1","Von 2011 bis 2016 gewann David Alaba.","addition","Marko Arnautovic ist Fußballer des Jahres  Marko Arnautovic ist zum Fußballer des Jahres in Österreich gewählt worden. Die Trainer der 12 Klubs in der österreichischen Bundesliga wählten den Wiener Fußballer. Arnautovic gewann die Auszeichnung zum 1. Mal. Er gewann die Wahl vor den Fußballern David Alaba und Xaver Schlager. Letztes Jahr gewann Marcel Sabitzer die Wahl. Von 2011 bis 2016 gewann David Alaba. Arnautovic spielt in der österreichischen Fußball-Nationalmannschaft und in der englischen Fußball-Liga beim Klub West Ham. "
"4-dienstag-8-2-22_b1","Also um einen Haushalt, in dem alles Mögliche gesammelt wurde und herum lag.","definition","Tote in Graz bei Wohnungsbrand wurde wohl ermordet  Die Polizei in Graz hat am Montag bei einem Wohnungsbrand eine tote Frau gefunden. Die Leiche der 41-jährigen wies deutliche Gewalt-Spuren am ganzen Körper auf. Die Polizei geht deshalb von Mord aus. Die Ermittlungen sind schwierig. Bei der Wohnung soll es sich um einen Messie-Haushalt handeln. Also um einen Haushalt, in dem alles Mögliche gesammelt wurde und herum lag. Ein Nachbar der Frau hatte am Montag einen Brand gerochen. Er verständigte die Einsatzkräfte und sah selbst in der Wohnung nach. Laut Polizei soll es kein großer Brand gewesen sein. Ob der Brand möglicherweise gelegt wurde, konnte noch nicht gesagt werden. "
"4-29-11-21_b1","Hofmann hatte die Mannschaft vorübergehend trainiert.","background","Ferdinand Feldhofer ist der neue Trainer von Rapid  Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. Feldhofer übernimmt das Amt von Steffen Hofmann. Hofmann hatte die Mannschaft vorübergehend trainiert. Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden. Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. Der neue Trainer Feldhofer war selbst Spieler bei Rapid. Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre. Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt. Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria. "
"4-29-11-21_b1","Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden.","addition","Ferdinand Feldhofer ist der neue Trainer von Rapid  Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. Feldhofer übernimmt das Amt von Steffen Hofmann. Hofmann hatte die Mannschaft vorübergehend trainiert. Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden. Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. Der neue Trainer Feldhofer war selbst Spieler bei Rapid. Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre. Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt. Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria. "
"4-29-11-21_b1","Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen.","addition","Ferdinand Feldhofer ist der neue Trainer von Rapid  Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. Feldhofer übernimmt das Amt von Steffen Hofmann. Hofmann hatte die Mannschaft vorübergehend trainiert. Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden. Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. Der neue Trainer Feldhofer war selbst Spieler bei Rapid. Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre. Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt. Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria. "
"3-29-11-21_b1","Das ist fast um ein Viertel teurer als noch im Jahr davor.","definition","Energie für Haushalte wurde im Oktober deutlich teurer  Die Energie-Preise für Haushalte in Österreich sind im Oktober um 23 Prozent gestiegen. Das ist fast um ein Viertel teurer als noch im Jahr davor. Das ergaben Berechnungen der Österreichischen Energie-Agentur. Teurer wurden vor allem Heizöl und Sprit: Heizöl kostete 61 Prozent mehr und Diesel fast 35 Prozent. Auch Strom und Gas wurden teurer. Gas kostete fast 16 Prozent mehr als im Vorjahr und Strom fast 10 Prozent mehr. Die Kosten für Strom und Gas sollen auch in nächster Zeit noch weiter steigen. Der Grund dafür sind Preis-Erhöhungen bei den heimischen Strom-Firmen und Gas-Anbietern. "
"3-29-11-21_b1","Auch Strom und Gas wurden teurer.","relation","Energie für Haushalte wurde im Oktober deutlich teurer  Die Energie-Preise für Haushalte in Österreich sind im Oktober um 23 Prozent gestiegen. Das ist fast um ein Viertel teurer als noch im Jahr davor. Das ergaben Berechnungen der Österreichischen Energie-Agentur. Teurer wurden vor allem Heizöl und Sprit: Heizöl kostete 61 Prozent mehr und Diesel fast 35 Prozent. Auch Strom und Gas wurden teurer. Gas kostete fast 16 Prozent mehr als im Vorjahr und Strom fast 10 Prozent mehr. Die Kosten für Strom und Gas sollen auch in nächster Zeit noch weiter steigen. Der Grund dafür sind Preis-Erhöhungen bei den heimischen Strom-Firmen und Gas-Anbietern. "
"3-21-2-18_b1","Weil die Hagelkörner so groß waren, richteten sie große Schäden an.","relation","Große Hagelkörner richteten in Australien Schäden an  In Australien hat es starke Stürme mit Hagel gegeben. Die Hagelkörner waren teilweise so groß wie Tennisbälle. Vor allem die Stadt Sydney war von den Stürmen und vom Hagel stark betroffen. Weil die Hagelkörner so groß waren, richteten sie große Schäden an. Sie zerstörten zum Beispiel Autoscheiben und beschädigten Hausdächer. Die großen Hagelkörner sorgten für Schäden in Höhe von 78 Millionen Euro. "
"5-freitag-28-1-22_a2","Das sind umgerechnet rund 40 Millionen Euro.","definition","In den USA wurde ein Gemälde für rund 45 Millionen Dollar versteigert  In der US-Stadt New York ist ein Gemälde für rund 45 Millionen Dollar versteigert worden. Das sind umgerechnet rund 40 Millionen Euro. Das Bild stammt von dem Maler Sandro Botticelli aus Italien. Es ist mehr als 500 Jahre alt und stellt Jesus Christus dar. Der Name von dem Gemälde ist: ""The Man of Sorrows"". Übersetzt auf Deutsch heißt das ""Der Schmerzensmann"". "
"5-29-11-21_a2","In dem Lokal sind rund 60 Gäste.","background","Seit 3 Nächten sind Gäste in England in einem Lokal eingeschneit  In England ist am Wochenende ein Lokal bei einem Schneesturm eingeschneit worden. In dem Lokal sind rund 60 Gäste. Die Gäste haben jetzt schon 3 Nächte in dem Lokal bleiben müssen. Für die Gäste ist das aber anscheinend nicht so schlimm. Die Wirtin sagt, dass die Gäste viel singen und spielen. Sie haben auch genug zu Essen. Alkohol dürfen die Gäste erst am Nachmittag trinken. Man weiß noch nicht, wann die Straßen zu dem Lokal wieder frei sind. "
"5-21-2-18_a2","Marko Arnautovic ist ein Fußball-Spieler.","background","Marko Arnautovic ist zum Fußballer des Jahres gewählt worden  Marko Arnautovic ist ein Fußball-Spieler. Er spielt in der National-Mannschaft von Österreich. Arnautovic spielt auch bei einem englischen Fußball-Klub. Dieser Klub heißt West Ham. Arnautovic ist jetzt zum österreichischen Fußballer des Jahres gewählt worden. Er gewann diesen Preis zum 1. Mal. Letztes Jahr war Marcel Sabitzer Fußballer des Jahres. Davor war David Alaba 6 Mal Fußballer des Jahres. "
"4-freitag-28-1-22_a2","NASA ist die Weltraum-Behörde von den USA.","definition","Ein Teil von einer SpaceX Rakete könnte in den Mond krachen  Anfang März könnte ein Teil von einer alten Rakete der Firma SpaceX in den Mond krachen. Das hat die NASA berechnet. NASA ist die Weltraum-Behörde von den USA. Die Rakete von SpaceX startete im Jahr 2015 in den Weltraum. Sie hatte aber nicht mehr genug Treibstoff, um zur Erde zurück zu kommen. Seitdem fliegt die Rakete im All. Man kann den Aufprall aber nicht direkt beobachten. Aber die Absturz-Stelle wird untersucht werden. Zuerst muss aber die Absturz-Stelle gefunden werden. Das kann mehrere Wochen oder auch Monate dauern. "
"3-21-2-18_a2","Wenn es hagelt, fallen Eis-Körner vom Himmel.","definition","Riesige Hagel-Körner richteten in Australien Schäden an  In Australien hat es starke Stürme mit Hagel gegeben. Wenn es hagelt, fallen Eis-Körner vom Himmel. Normalerweise sind die Hagel-Körner so klein wie Erbsen. In der Stadt Sydney waren die Hagel-Körner diesmal aber so groß wie Tennis-Bälle. Weil die Hagel-Körner so groß waren, machten sie viele Dinge kaputt. Zum Beispiel Auto-Scheiben und Dächer von Häusern. "
"3-21-2-18_a2","Normalerweise sind die Hagel-Körner so klein wie Erbsen.","relation","Riesige Hagel-Körner richteten in Australien Schäden an  In Australien hat es starke Stürme mit Hagel gegeben. Wenn es hagelt, fallen Eis-Körner vom Himmel. Normalerweise sind die Hagel-Körner so klein wie Erbsen. In der Stadt Sydney waren die Hagel-Körner diesmal aber so groß wie Tennis-Bälle. Weil die Hagel-Körner so groß waren, machten sie viele Dinge kaputt. Zum Beispiel Auto-Scheiben und Dächer von Häusern. "
"2-21-2-18_a2","In Spanien gibt es seit einiger Zeit politischen Streit wegen Katalonien.","background","Spanien und Katalonien wollen mit dem Streiten aufhören  In Spanien gibt es seit einiger Zeit politischen Streit wegen Katalonien. In der spanischen Region Katalonien gab im Jahr 2017 eine Abstimmung. Dabei stimmten viele Menschen dafür, dass Katalonien unabhängig von Spanien wird. Die damalige Regierung von Spanien sagte: Die Abstimmung ist gegen das Gesetz. Die spanische Regierung entließ auch viele Politiker von Katalonien. Dadurch wurde der Streit noch stärker. Heuer bekam Spanien eine neue Regierung. Der neue Premier-Minister von Spanien heißt Pedro Sanchez (sprich: Santsches). Er will mit dem Streiten wegen Katalonien aufhören. Auch der Präsident von Katalonien will nun mit dem Streit aufhören. Man weiß aber noch nicht, wann der Streit wirklich vorbei sein wird. "
"2-21-2-18_a2","Man weiß aber noch nicht, wann der Streit wirklich vorbei sein wird.","addition","Spanien und Katalonien wollen mit dem Streiten aufhören  In Spanien gibt es seit einiger Zeit politischen Streit wegen Katalonien. In der spanischen Region Katalonien gab im Jahr 2017 eine Abstimmung. Dabei stimmten viele Menschen dafür, dass Katalonien unabhängig von Spanien wird. Die damalige Regierung von Spanien sagte: Die Abstimmung ist gegen das Gesetz. Die spanische Regierung entließ auch viele Politiker von Katalonien. Dadurch wurde der Streit noch stärker. Heuer bekam Spanien eine neue Regierung. Der neue Premier-Minister von Spanien heißt Pedro Sanchez (sprich: Santsches). Er will mit dem Streiten wegen Katalonien aufhören. Auch der Präsident von Katalonien will nun mit dem Streit aufhören. Man weiß aber noch nicht, wann der Streit wirklich vorbei sein wird. "
"1-dienstag-8-2-22_a2","In Peking in China finden derzeit die Olympischen Winterspiele statt.","background","3 Medaillen für Österreich bei den Olympischen Winterspielen  In Peking in China finden derzeit die Olympischen Winterspiele statt. Der Österreicher Matthias Mayer hat dort am Dienstag den Super-G gewonnen und damit die Gold-Medaille bekommen. Mayer gewann schon im Jahr 2014 und im Jahr 2018 eine Gold-Medaille. Das hat bisher noch kein Schi-Rennfahrer aus Österreich geschafft.  Der österreichische Snowboarder Benjamin Karl gewann den Parallel-Riesentorlauf. Er holte sich damit die Gold-Medaille. Und die österreichische Snowboarderin Daniela Ulbing kam im Parallel-Riesentorlauf auf den 2. Platz. Damit gewann sie die Silber-Medaille. "
"1-21-2-18_a2","Mattis findet: Es ist ein Fehler, dass man die US-Soldaten zurück holt.","relation","Der Verteidigungs-Minister von den USA will aufhören  US-Präsident Donald Trump will tausende US-Soldaten aus dem Land Syrien zurück holen. Trump denkt nämlich, dass die Terror-Organisation Islamischer Staat (IS) in Syrien besiegt ist. Der Verteidigungs-Minister der USA James Mattis denkt aber, dass der IS nicht besiegt ist. Mattis findet: Es ist ein Fehler, dass man die US-Soldaten zurück holt. Deshalb will Mattis nicht mehr der Verteidigungs-Minister sein. Mattis wird am Ende vom Februar 2019 als Verteidigungs-Minister kündigen. "
